temp_id,id,nmbr_f_,center_x,center_y
1,1214-33-10,0,114.325000000006,10.3125005011539
2,1214-33-11,0,114.374999999993,10.3125005011576
3,1214-42-01,0,114.274999999999,10.3541671696336
4,1214-43-00,0,114.325000000004,10.3541671696343
5,1214-43-01,199,114.374999999997,10.3541671696318
6,1214-44-00,0,114.425000000003,10.3541671696326
7,1214-42-11,0,114.274999999998,10.3958338381266
8,1214-43-10,0,114.325000000006,10.3958338381268
9,1214-43-11,1294,114.374999999994,10.395833838128
10,1214-44-10,0,114.425000000005,10.3958338381267
11,1214-52-01,0,114.274999999999,10.4375005065897
12,1214-53-00,0,114.325000000006,10.4375005065912
13,1214-53-01,0,114.374999999994,10.4375005065904
14,1214-54-00,0,114.425000000007,10.4375005065931
15,2416-46-11,0,116.675000000007,20.3958341761049
16,2416-47-10,0,116.724999999992,20.3958341761046
17,2416-47-11,0,116.775000000007,20.3958341761052
18,2416-48-10,0,116.824999999999,20.3958341761042
19,2416-48-11,0,116.874999999998,20.3958341761028
20,2416-49-10,0,116.924999999996,20.3958341761024
21,2416-55-01,0,116.575000000001,20.4375008436766
22,2416-56-00,0,116.624999999997,20.4375008436765
23,2416-56-01,0,116.675000000006,20.4375008436717
24,2416-57-00,0,116.724999999994,20.4375008436731
25,2416-57-01,0,116.775000000007,20.4375008436751
26,2416-58-00,0,116.824999999996,20.4375008436733
27,2416-58-01,0,116.874999999999,20.4375008436725
28,2416-59-00,0,116.924999999998,20.4375008436757
29,2416-59-01,0,116.975000000004,20.4375008436753
30,2417-50-00,0,117.025000000006,20.4375008436745
31,2416-55-11,0,116.575000000003,20.4791675112624
32,2416-56-10,0,116.624999999995,20.4791675112619
33,2416-56-11,0,116.675000000005,20.4791675112626
34,2416-57-10,0,116.724999999998,20.4791675112646
35,2416-57-11,0,116.775000000003,20.479167511263
36,2416-58-10,0,116.824999999998,20.4791675112633
37,2416-58-11,0,116.874999999997,20.4791675112649
38,2416-59-10,0,116.925,20.4791675112625
39,2416-59-11,0,116.975000000003,20.4791675112645
40,2417-50-10,0,117.025000000005,20.4791675112633
41,2417-50-11,0,117.074999999995,20.479167511263
42,2416-65-00,0,116.524999999999,20.5208341788152
43,2416-65-01,0,116.574999999999,20.5208341788154
44,2416-66-00,0,116.624999999999,20.5208341788156
45,2416-66-01,0,116.675000000005,20.5208341788192
46,2416-67-00,0,116.724999999996,20.5208341788151
47,2416-67-01,0,116.775000000001,20.5208341788121
48,2416-68-00,0,116.825000000001,20.520834178813
49,2416-68-01,0,116.874999999995,20.5208341788124
50,2416-69-00,0,116.925000000001,20.5208341788132
51,2416-69-01,0,116.975000000004,20.5208341788126
52,2417-60-00,0,117.025000000004,20.5208341788129
53,2417-60-01,0,117.074999999997,20.5208341788136
54,2416-65-10,0,116.524999999998,20.5625008463944
55,2416-65-11,0,116.574999999999,20.5625008463927
56,2416-66-10,0,116.625,20.562500846393
57,2416-66-11,0,116.675000000005,20.5625008463902
58,2416-67-10,0,116.724999999994,20.5625008463925
59,2416-67-11,0,116.775000000005,20.5625008463967
60,2416-68-10,0,116.825000000001,20.5625008463984
61,2416-68-11,0,116.874999999996,20.5625008463991
62,2416-69-10,0,116.924999999998,20.5625008463962
63,2416-69-11,0,116.975000000003,20.5625008463934
64,2417-60-10,0,117.025000000006,20.5625008463953
65,2417-60-11,0,117.074999999996,20.5625008463966
66,2417-61-10,0,117.125000000001,20.5625008463958
67,2416-74-01,0,116.475000000002,20.604167513925
68,2416-75-00,0,116.524999999995,20.6041675139245
69,2416-75-01,0,116.575000000001,20.6041675139252
70,2416-76-00,2,116.625000000001,20.6041675139284
71,2416-76-01,2,116.675000000003,20.6041675139301
72,2416-77-00,232,116.724999999996,20.6041675139275
73,2416-77-01,618,116.775000000005,20.6041675139256
74,2416-78-00,607,116.825,20.6041675139234
75,2416-78-01,2,116.874999999997,20.6041675139234
76,2416-79-00,1,116.924999999997,20.6041675139274
77,2416-79-01,0,116.975000000003,20.6041675139298
78,2417-70-00,0,117.025000000003,20.604167513925
79,2417-70-01,0,117.074999999996,20.6041675139203
80,2417-71-00,0,117.125000000003,20.604167513923
81,2416-74-11,0,116.474999999999,20.6458341814987
82,2416-75-10,0,116.524999999997,20.6458341814987
83,2416-75-11,0,116.575,20.6458341815002
84,2416-76-10,1,116.625,20.6458341814956
85,2416-76-11,69,116.675000000006,20.6458341814963
86,2416-77-10,332,116.724999999994,20.6458341815003
87,2416-77-11,620,116.775000000004,20.6458341814989
88,2416-78-10,157,116.824999999999,20.6458341814992
89,2416-78-11,28,116.874999999998,20.6458341814992
90,2416-79-10,153,116.924999999999,20.6458341814976
91,2416-79-11,0,116.975000000003,20.645834181497
92,2417-70-10,0,117.024999999999,20.645834181498
93,2417-70-11,0,117.074999999995,20.6458341814978
94,2417-71-10,0,117.125000000006,20.645834181497
95,2416-84-01,0,116.475000000001,20.6875008490399
96,2416-85-00,0,116.524999999998,20.6875008490421
97,2416-85-01,4,116.574999999997,20.6875008490377
98,2416-86-00,4,116.625000000001,20.68750084904
99,2416-86-01,728,116.675000000007,20.6875008490405
101,2416-87-01,765,116.775000000003,20.6875008490372
102,2416-88-00,780,116.824999999998,20.6875008490345
103,2416-88-01,112,116.875,20.6875008490358
104,2416-89-00,12,116.924999999999,20.6875008490408
105,2416-89-01,0,116.975000000002,20.6875008490408
106,2417-80-00,0,117.025,20.6875008490391
107,2417-80-01,0,117.074999999996,20.6875008490418
108,2417-81-00,0,117.125000000003,20.6875008490411
109,2416-84-11,0,116.475000000003,20.7291675165809
